keyword,search_volume,keyword_difficulty,cpc,intent,funnel_stage,serp_features,content_format_needed,mapped_feature_ids,mapped_blog_slugs,cluster_id,content_type,priority,status,last_updated,source,notes
mejor pienso para perros,1600,20,0.92,commercial,decision,featured_snippet,listicle,,mejor-pienso-perro-raza-grande;mejor-pienso-perro-raza-pequena;mejor-pienso-perro-adulto-raza-mediana,tc_alimentacion_perros,pillar,high,active,2026-04-07,keywordsurfer_es,"Core keyword — 3 articles by size but no general pillar article yet. Consider creating one."
mejor pienso para gato,1600,14,0.48,commercial,decision,featured_snippet,listicle,,mejor-pienso-gato-esterilizado;mejor-pienso-gato-indoor,tc_alimentacion_gatos,pillar,high,active,2026-04-07,keywordsurfer_es,Core transactional keyword for cat food cluster
mejor pienso perro raza grande,1600,20,0.92,commercial,decision,product_carousel,listicle,,mejor-pienso-perro-raza-grande,tc_alimentacion_perros,cluster,high,active,2026-04-07,keywordsurfer_es,Already published cluster page
mejor pienso gato esterilizado,880,0,0,commercial,decision,product_carousel,listicle,,mejor-pienso-gato-esterilizado,tc_alimentacion_gatos,cluster,high,active,2026-04-07,keywordsurfer_es,"pienso gatos esterilizados = 880 vol"
pienso hipoalergénico perro,0,0,0,commercial,decision,featured_snippet,listicle,,mejor-pienso-hipoalergenico-perro,tc_alimentacion_perros,cluster,high,active,2026-04-08,keywordsurfer_es,"Exact match 0 vol. Real keyword: 'piensos hipoalergénicos perros' = 2900. 'mejor pienso hipoalergénico perros' = 390."
comida húmeda gatos,880,0,0,commercial,decision,product_carousel,listicle,,mejor-comida-humeda-gatos,tc_alimentacion_gatos,cluster,medium,active,2026-04-07,keywordsurfer_es,"mejor comida húmeda para gatos = 880 vol"
alimentación perros guía completa,0,0,0,informational,awareness,featured_snippet,guide,,cuantas-veces-dia-debe-comer-perro;alimentos-prohibidos-perros,tc_alimentacion_perros,pillar,high,planned,2026-04-08,keywordsurfer_es,"Exact 0 vol. Related: 'dieta barf perros' = 3600, 'tabla cantidad comida perro' = 880, 'alimentación natural perros' = 390. Pillar should target broader terms."
alimentación gatos guía completa,0,0,0,informational,awareness,featured_snippet,guide,,cuanto-debe-comer-gato-adulto;alimentos-toxicos-gatos,tc_alimentacion_gatos,pillar,high,planned,2026-04-08,keywordsurfer_es,"Exact 0 vol. Related: 'tabla de alimentación para gatos' = 590, 'cuantas veces come un gato' = 320, 'cuanto come un gato al día' = 320. Low vol cluster overall."
cómo elegir pienso perro,0,0,0,informational,consideration,featured_snippet,guide,,diferencia-pienso-grain-free-normal,tc_alimentacion_perros,cluster,medium,planned,2026-04-08,keywordsurfer_es,"Exact 0 vol. SERP dominated by brand searches (Natural Greatness 8100, Alpha Spirit 8100). 'mejor pienso para perros' = 1600 already tracked. Low standalone value."
mejor arnés para perros,590,0,0.32,commercial,decision,product_carousel,listicle,,mejor-arnes-perro;mejor-arnes-antitirones-perro,tc_paseo_perros,cluster,high,active,2026-04-07,keywordsurfer_es,"Parent keyword 'arneses perros' = 9900 vol. Article title is correct."
pasear perro guía completa,0,0,0,informational,awareness,featured_snippet,guide,,como-socializar-cachorro;cuanto-ejercicio-necesita-perro,tc_paseo_perros,pillar,high,planned,2026-04-08,keywordsurfer_es,"Exact 0 vol. NO keyword ideas returned by Surfer — dead keyword. Pillar should target different terms."
mejor rascador gatos,12100,0,0.16,commercial,decision,product_carousel,listicle,,mejor-rascador-gatos-guia;arbol-rascador-pequeno-pisos,tc_juguetes_enriquecimiento,cluster,high,active,2026-04-07,keywordsurfer_es,"MASSIVE keyword. 'gato rascador' = 12100, 'rascadores para gato' = 5400, 'árbol rascador para gatos' = 1600. Article exists and title is good."
enriquecimiento ambiental gato,0,0,0,informational,awareness,featured_snippet,guide,,enriquecimiento-ambiental-gato-interior;mejor-difusor-feromonas-gatos,tc_juguetes_enriquecimiento,cluster,medium,active,2026-04-08,keywordsurfer_es,"Exact 0 vol. Real keywords: 'jugar con gatitos' = 4400, 'jugar con el gato' = 4400, 'gatos jugar' = 2400, 'como jugar gato' = 260. Article exists but targets wrong keyword."
mejor cama perro,1000,0,0.37,commercial,decision,product_carousel,listicle,,mejor-cama-perro-guia,tc_hogar_mascotas,cluster,high,active,2026-04-07,keywordsurfer_es,"'camas para perros ikea' = 1000 — IKEA dominates related searches. Article exists."
cómo cuidar cachorro,0,0,0,informational,awareness,people_also_ask,guide,,cachorro-primeras-semanas-casa;como-socializar-cachorro,tc_salud_comportamiento_perros,cluster,high,active,2026-04-08,keywordsurfer_es,"Exact 0 vol. Related: 'parque para perros' = 9900, 'cuidados del perro' = 590, 'parque para cachorros' = 260, 'cómo cuidar a un perro' = 140. Partially covered."
señales estrés gato,0,0,0,informational,awareness,featured_snippet,guide,,senales-estres-gatos;gato-maulla-mucho-noche-causas,tc_salud_comportamiento_gatos,cluster,medium,active,2026-04-08,keywordsurfer_es,"Exact 0 vol. Real keywords: 'estrés en gatos' = 590 (many variants), 'gato estresado' = 480, 'como relajar gato estresado' = 140. Articles exist."
mejor antiparasitario perros,4400,0,0,commercial,decision,product_carousel,listicle,,mejor-antiparasitario-perros-guia;mejor-collar-antiparasitario-perro,tc_higiene_perros,cluster,high,active,2026-04-07,keywordsurfer_es,"'milbemax' = 4400, 'pastilla desparasitar perro' = 3600, 'pastillas antiparasitarias perros' = 2400. Huge cluster."
cómo bañar gato,720,0,0,informational,awareness,video_carousel,tutorial,,como-banar-gato;mejor-champu-gato,tc_higiene_gatos,cluster,medium,active,2026-04-07,keywordsurfer_es,"'como bañar al gato' = 720, 'se pueden bañar los gatos' = 260. Article exists."
